"Title","SKU","Color","Size","Price","Images"
Tshirt Long 1,TSH1-BLK-SM,Black,Small,24.00,"mens-shirt-1v1.jpg, mens-shirt-1v2.jpg, mens-shirt-1v3.jpg", "field_category_color|#000000"
Tshirt Long 1,TSH1-BLK-MD,Black,Medium,24.00,"mens-shirt-1v1.jpg, mens-shirt-1v2.jpg, mens-shirt-1v3.jpg", "field_category_color|#000000"
Tshirt Long 1,TSH1-BLK-LG,Black,Large,24.00,"mens-shirt-1v1.jpg, mens-shirt-1v2.jpg, mens-shirt-1v3.jpg", "field_category_color|#000000"
Tshirt 2,TSH2-BLU-SM,Blue,Small,16.00,"mens-shirt-2v1b.jpg, mens-shirt-2v2b.jpg, mens-shirt-2v3b.jpg", "field_category_color|#0000FF"
Tshirt 2,TSH2-BLU-MD,Blue,Medium,16.00,"mens-shirt-2v1b.jpg, mens-shirt-2v2b.jpg, mens-shirt-2v3b.jpg", "field_category_color|#0000FF"
Tshirt 2,TSH2-BLU-LG,Blue,Large,16.00,"mens-shirt-2v1b.jpg, mens-shirt-2v2b.jpg, mens-shirt-2v3b.jpg", "field_category_color|#0000FF"
Tshirt 2,TSH2-GRN-SM,Green,Small,16.00,"mens-shirt-2v1.jpg, mens-shirt-2v2.jpg, mens-shirt-2v3.jpg", "field_category_color|#00FF00"
Tshirt 2,TSH2-GRN-MD,Green,Medium,16.00,"mens-shirt-2v1.jpg, mens-shirt-2v2.jpg, mens-shirt-2v3.jpg", "field_category_color|#00FF00"
Tshirt 2,TSH2-GRN-LG,Green,Large,16.00,"mens-shirt-2v1.jpg, mens-shirt-2v2.jpg, mens-shirt-2v3.jpg", "field_category_color|#00FF00"
Tshirt 2,TSH2-PRL-SM,Purple,Small,16.00,"mens-shirt-2v1p.jpg, mens-shirt-2v2p.jpg, mens-shirt-2v3p.jpg", "field_category_color|#551A8B"
Tshirt 2,TSH2-PRL-MD,Purple,Medium,16.00,"mens-shirt-2v1p.jpg, mens-shirt-2v2p.jpg, mens-shirt-2v3p.jpg", "field_category_color|#551A8B"
Tshirt 2,TSH2-PRL-LG,Purple,Large,16.00,"mens-shirt-2v1p.jpg, mens-shirt-2v2p.jpg, mens-shirt-2v3p.jpg", "field_category_color|#551A8B"
Tshirt 3,TSH3-CRM-SM,Cream,Small,38.00,"mens-shirt_3v1cr.jpg, mens-shirt_3v2cr.jpg, mens-shirt_3v3cr.jpg", "field_category_color|#F5FFFA"
Tshirt 3,TSH3-CRM-MD,Cream,Medium,38.00,"mens-shirt_3v1cr.jpg, mens-shirt_3v2cr.jpg, mens-shirt_3v3cr.jpg", "field_category_color|#F5FFFA"
Tshirt 3,TSH3-CRM-LG,Cream,Large,38.00,"mens-shirt_3v1cr.jpg, mens-shirt_3v2cr.jpg, mens-shirt_3v3cr.jpg", "field_category_color|#F5FFFA"
Tshirt 3,TSH3-HGY-SM,Gray,Small,38.00,"mens-shirt_3v1.jpg, mens-shirt_3v2.jpg, mens-shirt_3v3.jpg", "field_category_color|#777777"
Tshirt 3,TSH3-HGY-MD,Gray,Medium,38.00,"mens-shirt_3v1.jpg, mens-shirt_3v2.jpg, mens-shirt_3v3.jpg", "field_category_color|#777777"
Tshirt 3,TSH3-HGY-LG,Gray,Large,38.00,"mens-shirt_3v1.jpg, mens-shirt_3v2.jpg, mens-shirt_3v3.jpg", "field_category_color|#777777"
Tshirt 3,TSH3-LTB-SM,Light Blue,Small,38.00,"mens-shirt_3v1b.jpg, mens-shirt_3v2b.jpg, mens-shirt_3v3b.jpg", "field_category_color|#68838B"
Tshirt 3,TSH3-LTB-MD,Light Blue,Medium,38.00,"mens-shirt_3v1b.jpg, mens-shirt_3v2b.jpg, mens-shirt_3v3b.jpg", "field_category_color|#68838B"
Tshirt 3,TSH3-LTB-LG,Light Blue,Large,38.00,"mens-shirt_3v1b.jpg, mens-shirt_3v2b.jpg, mens-shirt_3v3b.jpg", "field_category_color|#68838B"
Tshirt 4,TSH4-BLK-SM,Black,Small,32.00,"mens-4v1.jpg, mens-4v2.jpg, mens-4v3.jpg", "field_category_color|#000000"
Tshirt 4,TSH4-BLK-MD,Black,Medium,32.00,"mens-4v1.jpg, mens-4v2.jpg, mens-4v3.jpg", "field_category_color|#000000"
Tshirt 4,TSH4-BLK-LG,Black,Large,32.00,"mens-4v1.jpg, mens-4v2.jpg, mens-4v3.jpg", "field_category_color|#000000"
Tshirt 5,TSH5-GRY-SM,Gray,Small,22.00,"womens-1v1g.jpg, womens-1v2g.jpg, womens-1v3g.jpg", "field_category_color|#777777"
Tshirt 5,TSH5-GRY-MD,Gray,Medium,22.00,"womens-1v1g.jpg, womens-1v2g.jpg, womens-1v3g.jpg", "field_category_color|#777777"
Tshirt 5,TSH5-GRY-LG,Gray,Large,22.00,"womens-1v1g.jpg, womens-1v2g.jpg, womens-1v3g.jpg", "field_category_color|#777777"
Tshirt 5,TSH5-ORG-SM,Orange,Small,22.00,"womens-1v1.jpg, womens-1v2.jpg, womens-1v3.jpg", "field_category_color|#CC3232"
Tshirt 5,TSH5-ORG-MD,Orange,Medium,22.00,"womens-1v1.jpg, womens-1v2.jpg, womens-1v3.jpg", "field_category_color|#CC3232"
Tshirt 5,TSH5-ORG-LG,Orange,Large,22.00,"womens-1v1.jpg, womens-1v2.jpg, womens-1v3.jpg", "field_category_color|#CC3232"
Tshirt 5,TSH5-YLW-SM,Yellow,Small,22.00,"womens-1v1y.jpg, womens-1v2y.jpg, womens-1v3y.jpg", "field_category_color|#EEEE00"
Tshirt 5,TSH5-YLW-MD,Yellow,Medium,22.00,"womens-1v1y.jpg, womens-1v2y.jpg, womens-1v3y.jpg", "field_category_color|#EEEE00"
Tshirt 5,TSH5-YLW-LG,Yellow,Large,22.00,"womens-1v1y.jpg, womens-1v2y.jpg, womens-1v3y.jpg", "field_category_color|#EEEE00"
Tshirt 6,TSH6-BLU-SM,Blue,Small,22.00,"womens2v1b.jpg, womens2v2b.jpg, womens2v3b.jpg", "field_category_color|#0000FF"
Tshirt 6,TSH6-BLU-MD,Blue,Medium,22.00,"womens2v1b.jpg, womens2v2b.jpg, womens2v3b.jpg", "field_category_color|#0000FF"
Tshirt 6,TSH6-BLU-LG,Blue,Large,22.00,"womens2v1b.jpg, womens2v2b.jpg, womens2v3b.jpg", "field_category_color|#0000FF"
Tshirt 6,TSH6-GRN-SM,Green,Small,22.00,"womens2v1.jpg, womens2v2.jpg, womens2v3.jpg", "field_category_color|#00FF00"
Tshirt 6,TSH6-GRN-MD,Green,Medium,22.00,"womens2v1.jpg, womens2v2.jpg, womens2v3.jpg", "field_category_color|#00FF00"
Tshirt 6,TSH6-GRN-LG,Green,Large,22.00,"womens2v1.jpg, womens2v2.jpg, womens2v3.jpg", "field_category_color|#00FF00"
Tshirt 6,TSH6-DPK-SM,Fuchia,Small,22.00,"womens2v1p.jpg, womens2v2p.jpg, womens2v3p.jpg", "field_category_color|#FF00AA"
Tshirt 6,TSH6-DPK-MD,Fuchia,Medium,22.00,"womens2v1p.jpg, womens2v2p.jpg, womens2v3p.jpg", "field_category_color|#FF00AA"
Tshirt 6,TSH6-DPK-LG,Fuchia,Large,22.00,"womens2v1p.jpg, womens2v2p.jpg, womens2v3p.jpg", "field_category_color|#FF00AA"
Sweatshirt 1,SWT1-PNK-SM,Pink,Small,46.00,"Sweatshirt-1v1p.jpg, Sweatshirt-1v2p.jpg, Sweatshirt-1v3p.jpg", "field_category_color|#8B636C"
Sweatshirt 1,SWT1-PNK-MD,Pink,Medium,46.00,"Sweatshirt-1v1p.jpg, Sweatshirt-1v2p.jpg, Sweatshirt-1v3p.jpg", "field_category_color|#8B636C"
Sweatshirt 1,SWT1-PNK-LG,Pink,Large,46.00,"Sweatshirt-1v1p.jpg, Sweatshirt-1v2p.jpg, Sweatshirt-1v3p.jpg", "field_category_color|#8B636C"
Sweatshirt 1,SWT1-GRY-SM,Gray,Small,46.00,"Sweatshirt-1v1.jpg, Sweatshirt-1v2.jpg, Sweatshirt-1v3.jpg", "field_category_color|#777777"
Sweatshirt 1,SWT1-GRY-MD,Gray,Medium,46.00,"Sweatshirt-1v1.jpg, Sweatshirt-1v2.jpg, Sweatshirt-1v3.jpg", "field_category_color|#777777"
Sweatshirt 1,SWT1-GRY-LG,Gray,Large,46.00,"Sweatshirt-1v1.jpg, Sweatshirt-1v2.jpg, Sweatshirt-1v3.jpg", "field_category_color|#777777"
Sweatshirt 2,SWT2-BLU-SM,Blue,Small,52.00,"sweatshirt-2v1b.jpg, Sweatshirt-2v2b.jpg, sweatshirt-2v3b.jpg", "field_category_color|#0000FF"
Sweatshirt 2,SWT2-BLU-MD,Blue,Medium,52.00,"sweatshirt-2v1b.jpg, Sweatshirt-2v2b.jpg, sweatshirt-2v3b.jpg", "field_category_color|#0000FF"
Sweatshirt 2,SWT2-BLU-LG,Blue,Large,52.00,"sweatshirt-2v1b.jpg, Sweatshirt-2v2b.jpg, sweatshirt-2v3b.jpg", "field_category_color|#0000FF"
Sweatshirt 2,SWT2-GRN-SM,Green,Small,52.00,"sweatshirt-2v1.jpg, Sweatshirt-2v2.jpg, sweatshirt-2v3.jpg", "field_category_color|#00FF00"
Sweatshirt 2,SWT2-GRN-MD,Green,Medium,52.00,"sweatshirt-2v1.jpg, Sweatshirt-2v2.jpg, sweatshirt-2v3.jpg", "field_category_color|#00FF00"
Sweatshirt 2,SWT2-GRN-LG,Green,Large,52.00,"sweatshirt-2v1.jpg, Sweatshirt-2v2.jpg, sweatshirt-2v3.jpg", "field_category_color|#00FF00"
